media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
85.856,35.954,72.876,130.285,20.319,29.528,33.033,170.41,claro
85.843,37.367,73.206,129.049,21.375,30.995,35.044,170.41,claro
87.298,37.365,74.398,131.559,20.488,29.259,33.71,170.41,claro
30.739,26.029,28.033,37.849,28.414,28.834,31.071,187.276,escuro
26.875,23.567,24.589,32.616,27.223,27.505,29.557,187.276,escuro
29.39,24.72,26.708,36.444,27.846,28.222,30.604,187.276,escuro
28.786,24.578,26.145,35.574,27.351,27.389,29.373,187.276,escuro
37.595,29.985,33.813,47.892,28.178,28.089,28.387,184.781,escuro
35.396,27.848,31.623,45.649,26.462,26.638,26.979,184.781,escuro
34.723,27.365,31.006,44.77,25.826,26.113,26.891,184.781,escuro
26.177,21.684,24.679,30.864,21.99,22.643,24.165,160.105,escuro
26.464,21.868,24.857,31.385,22.991,23.378,24.662,160.105,escuro
26.304,19.426,24.575,32.304,20.737,22.056,23.76,160.105,escuro
28.302,22.104,26.593,34.041,23.637,24.419,25.744,160.105,escuro
24.75,20.055,23.651,28.683,21.843,22.94,25.054,161.391,escuro
25.448,21.051,24.206,29.564,23.815,24.417,26.203,161.391,escuro
24.847,23.497,23.648,27.734,25.184,24.798,26.111,161.391,escuro
25.028,23.752,23.753,28.051,24.192,24.058,25.948,161.391,escuro
43.58,28.501,38.679,59.029,21.056,23.249,25.241,186.963,escuro
42.45,27.751,37.668,57.508,22.215,24.753,26.541,186.963,escuro
44.224,29.876,39.345,59.345,22.218,24.315,26.068,186.963,escuro
47.441,30.488,42.092,64.474,22.968,25.56,27.368,187.543,escuro
46.556,29.854,41.28,63.339,24.079,25.815,26.954,187.543,escuro
45.211,29.08,40.109,61.452,22.653,24.834,26.361,187.543,escuro
44.893,28.52,39.716,61.38,22.346,24.733,26.264,187.543,escuro
40.406,29.598,37.521,50.174,25.543,28.267,31.225,155.833,escuro
40.817,26.663,37.79,52.182,23.244,27.124,30.713,155.833,escuro
38.493,26.497,35.606,48.747,24.357,27.662,30.756,155.833,escuro
36.508,26.938,33.863,45.326,22.703,25.202,28.392,156.818,escuro
32.602,25.574,30.572,39.231,23.039,25.121,27.771,156.818,escuro
31.511,24.974,29.38,38.149,21.628,23.291,25.874,156.818,escuro
34.097,26.019,31.772,41.704,22.207,24.49,27.404,156.818,escuro
53.895,30.801,47.868,74.511,22.367,26.214,28.876,187.443,medio
59.418,34.907,53.258,80.858,23.763,28.406,32.031,187.443,medio
61.286,37.033,55.137,82.598,24.683,28.565,31.525,187.443,medio
59.571,35.094,53.407,81.0,24.498,28.79,31.927,187.443,medio
42.9,27.751,39.758,54.875,24.865,30.014,34.191,153.858,medio
40.383,26.765,37.433,51.398,24.868,29.769,34.051,153.858,medio
41.993,27.324,39.092,53.305,24.589,30.234,34.741,153.858,medio
45.987,28.782,42.618,59.202,24.878,30.269,34.322,158.767,medio
42.279,26.386,39.141,54.532,24.126,30.558,35.703,158.767,medio
41.053,25.883,37.968,52.922,24.392,30.222,34.702,158.767,medio
43.914,27.681,40.699,56.461,26.032,32.304,37.18,158.767,medio
59.633,31.238,53.464,82.54,23.622,27.943,29.987,187.205,medio
64.772,34.373,58.338,88.979,24.058,28.71,31.263,187.205,medio
64.068,34.172,57.437,88.463,24.229,28.565,30.958,187.205,medio
